,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m)
0,1997-04-01 21:00,,,,,,,,,,,,,,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1
1,1998-04-19 21:00,,,,,,,,,,,,,,9.1,8.1,7.1,6.1,5.1,4.1,3.1,2.1,1.1,0.1
2,2001-06-05 21:00,,,,,,,,,,,,,,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1
3,2003-05-01 00:00,y,5.0,,148.0,,59.0,87.0,177.0,204.0,59.0,103.0,178.0,207.0,,,,,,,,,,
4,2004-06-12,y (blury pictures before maintenance),,,,,,268.0,,353.0,,264.0,,349.0,,,,,,,,,,
5,2010-05-01 00:00,,,,,,,,,,,,,,,,,,,,,,,
6,2013-05-21 16:00,,,,,,,,,,,,,,,,,,,,,,,
7,2015-05-20 16:00,,,,,,,,,,,,,,,,,,,,,,,
8,2016-05-26 00:00,,,,,,,,,,,,,,,,,,,,,,,
9,2017-05-07 00:00,"by A. Heilig, SR reported, other height deducted by bav",62.0,,199.5,,102.0,,219.5,,,,,,,,,,,,,,,
10,2018-05-29,by K. Steffen,0.0,,,,0.0,,,,5.0,,,,,,,,,,,,,
