
125,131,2000,1.012,-1.822,.711,-11.29,-11.29,74,72.4,4.957,4.868,194.1,0,-6999,-6999,-18.14,-18.34,-18.64,-19.13,-19.73,-20.43,-20.98,-20.88,-19.19,-15.19,-10.46,-10.38,10.98
125,131,2100,1.007,-1.829,.717,-12.18,-12.18,77.6,76.4,4.859,4.85,188,403.9,-6999,-6999,-18.08,-18.32,-18.64,-19.16,-19.79,-20.53,-21.07,-20.99,-18.94,-14.99,-11.87,-11.84,12.56
125,131,2200,2.514,1.213,-6999,-13.58,-13.58,77,75.7,4.573,4.669,181.8,403.9,-6999,-6999,-18.68,-18.9,-19.22,-19.72,-20.35,-21.04,-21.43,-21.02,-18.92,-15.02,-13.28,-13.25,12.56
125,131,2300,2.345,-6999,-2.949,-14.31,-14.31,75,74,5.948,6.001,185,404.1,1.848,-6999,-18.33,-18.59,-18.92,-19.46,-20.14,-20.88,-21.45,-21.42,-18.86,-15.05,-14.03,-14.03,12.54
125,132,0,.687,.591,-3.625,-16.08,-16.08,76.5,75.7,5.8,5.852,184.1,404,1.962,1.919,-18,-18.23,-18.55,-19.09,-19.75,-20.49,-21.07,-21.01,-18.98,-15.06,-15.96,-15.97,12.54
125,132,100,.252,.223,-3.812,-17.54,-17.54,77.5,76.7,5.578,5.585,192.9,403.9,1.967,1.924,-18.09,-18.32,-18.65,-19.18,-19.87,-20.61,-21.22,-21.2,-19.19,-15.28,-17.37,-17.38,12.54
125,132,200,.071,.064,-3.491,-18.14,-18.14,76.9,76.1,6.335,6.363,186,403.9,1.969,1.926,-18.16,-18.38,-18.72,-19.25,-19.94,-20.69,-21.32,-21.32,-19.29,-15.47,-17.96,-17.97,12.53
125,132,300,.034,.03,-.009,-16.4,-16.4,76.7,76,6.114,6.131,188.7,404,1.954,1.919,-18.25,-18.47,-18.8,-19.33,-20.04,-20.79,-21.42,-21.45,-19.42,-15.7,-16.24,-16.23,12.53
125,132,400,.05,.044,-.805,-15.56,-15.56,76.7,76,5.697,5.714,193.6,404.1,1.951,1.916,-18.21,-18.43,-18.76,-19.29,-20,-20.75,-21.37,-21.39,-19.37,-15.84,-15.39,-15.4,12.53
125,132,500,.118,.102,-1.271,-15.31,-15.31,74.7,73.9,6.18,6.211,189.6,404,1.942,1.916,-18.19,-18.41,-18.74,-19.27,-19.98,-20.73,-21.34,-21.34,-19.33,-15.96,-15.16,-15.14,12.53
125,132,600,.252,.223,-1.214,-15.17,-15.17,75.5,74.7,5.51,5.537,189.6,404.1,1.934,1.915,-18.18,-18.4,-18.73,-19.26,-19.97,-20.72,-21.33,-21.33,-19.32,-16.07,-15,-15.02,12.52
125,132,700,.685,.611,-1.689,-15.41,-15.41,74.9,74.1,5.804,5.849,184.3,404.3,1.937,1.916,-18.18,-18.39,-18.73,-19.26,-19.97,-20.72,-21.32,-21.31,-19.31,-16.15,-15.23,-15.21,12.53
125,132,800,1.843,1.605,-.87,-14.66,-14.66,71.7,71,6.506,6.561,181.8,404.6,1.944,1.915,-18.22,-18.42,-18.76,-19.29,-20,-20.75,-21.36,-21.35,-19.37,-16.25,-14.42,-14.42,12.52
125,132,900,2.899,2.593,.178,-14.51,-14.51,71.9,71.2,6.72,6.804,178.5,404.8,1.948,1.914,-18.2,-18.41,-18.74,-19.27,-19.98,-20.73,-21.33,-21.31,-19.35,-16.27,-14.25,-14.23,12.52
125,132,1000,4.333,3.746,-.669,-13.24,-13.24,69.13,68.4,6.596,6.654,183.1,405.3,1.945,1.909,-18.21,-18.42,-18.74,-19.27,-19.98,-20.73,-21.32,-21.29,-19.37,-16.29,-12.9,-12.9,12.52
125,132,1100,6.612,5.623,-.477,-12.77,-12.77,68.98,68.28,6.419,6.501,178.2,405.5,1.939,1.908,-18.19,-18.4,-18.71,-19.24,-19.95,-20.7,-21.28,-21.24,-19.36,-16.26,-12.36,-12.33,12.52
