  145.65  497.25  386.41   65.38  -10.28   -7.65  -12.76   66.84   65.68    4.36    4.48  183.00    3.48    3.87  -99.00  -99.00  -99.00     .78   -2.56    -.58     .06  263.38
  145.70  455.09  343.57   73.73  -11.38   -6.03  -12.93   67.38   66.58    4.36    4.48  175.00    3.55    3.94  -99.00  -99.00  -99.00     .75   -3.45    -.40     .06  271.73
  145.74  380.46  272.51   88.53   -8.05   -8.13  -13.78   68.80   68.94    4.36    4.48  169.00    3.55    4.01  -99.00  -99.00  -99.00     .72   -2.82     .07     .06  286.53
  145.78  311.44  234.09   -4.03   -7.83   -8.31  -15.49   70.40   69.20    4.36    4.48  165.10  -99.00    3.70  -99.00  -99.00  -99.00     .75   -3.59    -.60     .06  193.97
  145.82  171.87  171.87  -26.05  -99.00  -99.00  -10.71   43.17   41.93    2.21    2.39   95.20  -99.00  -99.00   -2.48    -.06  -99.00    1.00   44.15    -.62     .09  -23.51
  145.86  135.15  135.15  -37.98  -24.43  -18.24  -18.59   70.80   68.94    3.93    4.21  161.00    3.53    4.00  -99.00   97.52    -.24    1.00    -.18    -.93     .14  -36.49
  145.90   93.16   93.16 -115.19  -24.52  -19.52  -20.40   70.90   68.52    4.10    4.39  155.80    3.52    4.01  -99.00  -99.00    -.55    1.00    -.44   -1.19     .14   82.81
  145.95   83.13   65.28  -61.72  -24.60  -21.03  -21.34   70.20   68.51    4.80    5.10  160.10    3.53    4.00  -99.00   68.45    -.18     .79    -.15    -.84     .15  -31.17
  145.99   49.47   49.30  -47.19  -24.64  -22.33  -22.78   70.90   69.32    4.22    4.51  161.60    3.53    4.01  -99.00   86.21    -.29    1.00    -.23    -.79     .14  -34.40
  146.03   50.15   46.58  -43.92  -24.71  -23.15  -23.59   71.50   69.92    4.50    4.79  158.60    3.53    4.01  -99.00   79.62    -.28     .93    -.22    -.79     .14  -24.54
  146.07   56.10   56.10  -45.78  -24.77  -23.56  -23.53   71.80   70.30    5.14    5.45  153.20    3.52    4.00   -8.79    6.67     .02    1.00     .01    -.75     .16  -43.66
  146.11  100.81   79.05  -43.08  -24.77  -23.72  -23.38   71.10   69.67    5.40    5.70  153.40    3.52    4.00    -.02     .00     .20     .78     .17    -.72     .15  -43.06
