fields,units,display_description,database_fields,database_fields_data_types
timestamp,time,timestamp_iso,timestamp_iso,timestamp
ISWR,W/m^2,shortwave_incoming_radiation,swin,real
ISWR_max,W/m^2,shortwave_incoming_radiation_max,swin_maximum,real
ISWR_std,W/m^2,shortwave_incoming_radiation_stdev,swin_stdev,real
OSWR,W/m^2,shortwave_outgoing_radiation,swout,real
OSWR_max,W/m^2,shortwave_outgoing_radiation_max,swout_maximum,real
NR,W/m^2,net_radiation,netrad,real
NR_max,W/m^2,net_radiation_maximum,netrad_max,real
NR_std,W/m^2,net_radiation_stdev,netrad_stdev,real
TA1,DegreesC,air_temperature_1,airtemp1,real
TA1_max,DegreesC,air_temperature_1_max,airtemp1_maximum,real
TA1_min,DegreesC,air_temperature_1_min,airtemp1_minimum,real
TA2,DegreesC,air_temperature_2,airtemp2,real
TA2_max,DegreesC,air_temperature_2_max,airtemp2_maximum,real
TA2_min,DegreesC,air_temperature_2_min,airtemp2_minimum,real
TA3,DegreesC,air_temperature_cs500_air1,airtemp_cs500air1,real
TA4,DegreesC,air_temperature_cs500_air2,airtemp_cs500air2,real
RH1,%/100,relative_humidity_1,rh1,real
RH2,%/100,relative_humidity_2,rh2,real
VW1,m/s,wind_speed_1,windspeed1,real
VW1_max,m/s,wind_speed_u1_max,windspeed_u1_maximum,real
VW1_stdev,m/s,wind_speed_u1_stdev,windspeed_u1_stdev,real
VW2,m/s,wind_speed_2,windspeed2,real
VW2_max,m/s,wind_speed_u2_max,windspeed_u2_maximum,real
VW2_stdev,m/s,wind_speed_u2_stdev,windspeed_u2_stdev,real
DW1,Degrees,wind_from_direction_1,winddir1,real
DW2,Degrees,wind_from_direction_2,winddir2,real
P,mbar,air_pressure,pressure,real
HS1,m,snow_depth_1,sh1,real
HS2,m,snow_depth_2,sh2,real
HW1,m,height_wind_sensor_1,hw1,real
HW2,m,height_wind_sensor_2,hw2,real
V,V,battery_voltage,battvolt,real
TA5,DegreesC,ref_temperature,reftemp,real
TS1,DegreesC,snow_temperature_1,ts1,real
TS2,DegreesC,snow_temperature_2,ts2,real
TS3,DegreesC,snow_temperature_3,ts3,real
TS4,DegreesC,snow_temperature_4,ts4,real
TS5,DegreesC,snow_temperature_5,ts5,real
TS6,DegreesC,snow_temperature_6,ts6,real
TS7,DegreesC,snow_temperature_7,ts7,real
TS8,DegreesC,snow_temperature_8,ts8,real
TS9,DegreesC,snow_temperature_9,ts9,real
TS10,DegreesC,snow_temperature_10,ts10,real
Tsurf1,DegreesC,surface_temperature_1,tsurf1,real
Tsurf2,DegreesC,surface_temperature_2,tsurf2,real
IUVR,W/m^2,incoming_uv_radiation,uvin,real
ILWR,W/m^2,incoming_longwave_radiation,lwin,real
SHF,W/m^2,sensible_heat_flux,shf,real
LHF,W/m^2,latent_heat_flux,lhf,real
TA2m,DegreesC,air_temperature_2m,airtemp_2m,real
RH2m,%/100,relative_humidity_2m,rh_2m,real
VW10m,m/s,wind_speed_10m,windspeed_10m,real
SZA,Degrees,solar_zenith_angle,solar_zenith_angle,real
SAA,Degrees,solar_azimuth_angle,solar_azimuth_angle,real
RH1_cor,%/100,relative_humidity_1_cor,rh1_cor,real
RH2_cor,%/100,relative_humidity_2_cor,rh2_cor,real
SH1,g/kg,specific_humidity_1,q1,real
SH2,g/kg,specific_humidity_2,q2,real
Alb,-,surface_albedo,alb,real
